categoria,pregunta,respuesta_correcta,opcion_1,opcion_2,opcion_3
"Arte","¿Qué es el 'tenebrismo'?","Un uso dramático y extremo del claroscuro, donde la oscuridad domina la imagen","Un estilo de pintura de temas sombríos","Pintar solo con tonos de gris","Una técnica para pintar de noche"
"Arte","¿En qué consiste la técnica de 'collage'?","Pegar diferentes materiales como papel o tela sobre un soporte","Mezclar arena con la pintura","Tallar una imagen en relieve","Dibujar con carboncillo"
"Arte","¿Qué civilización precolombina es famosa por las enigmáticas Líneas de Nazca?","La cultura Nazca","La cultura Inca","La cultura Moche","La cultura Chavín"
"Arte","¿Quién fue el principal mecenas de las artes en la Florencia del Renacimiento?","La familia Médici","El Papa","La familia Sforza","El Dogo de Venecia"
"Arte","¿Qué es el 'Art Nouveau'?","Un estilo artístico de finales del siglo XIX caracterizado por sus líneas curvas y motivos inspirados en la naturaleza","Un movimiento de arte abstracto","El arte de la Antigua Roma","Un sinónimo de arte moderno"
"Arte","¿Qué pintor es conocido por sus obras de bailarinas de ballet?","Edgar Degas","Pierre-Auguste Renoir","Henri de Toulouse-Lautrec","Édouard Manet"
"Arte","¿Cuál es la característica principal de las pinturas de Mark Rothko?","Grandes bloques rectangulares de colores vibrantes","Figuras geométricas en blanco y negro","Retratos hiperrealistas","Escenas de acción caóticas"
"Arte","¿Qué es una 'cúpula geodésica', popularizada por el arquitecto Buckminster Fuller?","Una estructura esférica o parcial-esférica basada en una red de triángulos","Una cúpula hecha de cristal","Una cúpula sostenida por columnas","Una cúpula de estilo islámico"
"Arte","¿Qué artista surrealista pintó 'El hijo del hombre', un autorretrato con una manzana verde cubriendo su rostro?","René Magritte","Max Ernst","Yves Tanguy","Joan Miró"
"Arte","¿Qué es un 'díptico'?","Una obra de arte que consta de dos paneles, generalmente unidos por bisagras","Un poema de dos versos","Una escultura de dos partes","Un tipo de pincel doble"
"Arte","¿Qué pintor barroco español es famoso por sus bodegones y sus retratos de santos?","Francisco de Zurbarán","Diego Velázquez","Bartolomé Esteban Murillo","José de Ribera"
"Arte","¿Qué es la serigrafía?","Una técnica de impresión que utiliza una malla para transferir tinta a un sustrato","Un tipo de escritura a mano","Una forma de escultura en cera","Una técnica fotográfica"
"Arte","¿Cuál es el nombre del famoso parque en Barcelona lleno de la arquitectura de Gaudí?","Parque Güell","Parque del Retiro","Parque de la Ciudadela","Jardines de Luxemburgo"
"Arte","¿Qué artista es famoso por sus pinturas de nenúfares (lirios de agua)?","Claude Monet","Vincent van Gogh","Paul Cézanne","Gustave Caillebotte"
"Arte","¿Qué es el 'minimalismo'?","Un movimiento artístico que reduce las obras a sus elementos más básicos y esenciales","Arte hecho con objetos muy pequeños","Un estilo de pintura muy detallado","Arte con muchos colores y formas"
"Arte","¿Qué fotógrafo es famoso por sus impactantes paisajes en blanco y negro del oeste americano?","Ansel Adams","Robert Capa","Henri Cartier-Bresson","Dorothea Lange"
"Arte","¿Qué es el 'ready-made'?","Un objeto encontrado, elegido por un artista y presentado como arte","Una escultura prefabricada","Una copia de una obra de arte","Una pintura hecha con materiales listos para usar"
"Arte","¿Qué pintor del Romanticismo inglés es conocido por sus dramáticas escenas marinas y paisajes?","J. M. W. Turner","John Constable","William Blake","Thomas Gainsborough"
"Arte","¿Qué es un 'friso' en la arquitectura clásica?","Una banda horizontal decorativa, a menudo con relieves, en la parte superior de un edificio","El techo de un templo","El suelo de mosaico","La puerta principal"
"Arte","¿Quién fue Auguste Rodin?","Un escultor francés, considerado el padre de la escultura moderna","Un pintor impresionista","Un arquitecto gótico","Un fotógrafo de retratos"
"Arte","¿Qué es el 'manierismo'?","Un estilo del final del Renacimiento que exageraba las cualidades de la obra, como la pose y la emoción","Un estilo que imita las maneras de la corte","Un sinónimo de realismo","Un movimiento precursor del Barroco"
"Arte","¿Qué es la perspectiva lineal?","Un sistema para crear la ilusión de profundidad en una superficie plana","Una forma de dibujar solo con líneas","Pintar en una línea de producción","Una técnica de arte abstracto"
"Arte","¿Qué artista contemporáneo es famoso por sus esculturas gigantes de animales hechas con globos de acero inoxidable?","Jeff Koons","Damien Hirst","Ai Weiwei","Anish Kapoor"
"Cultura Nerd","En el manga 'Dragon Ball', ¿cuál es el nombre del padre de Goku?","Bardock","Vegeta","Raditz","Broly"
"Cultura Nerd","¿Qué significa 'CPU' en informática?","Unidad Central de Procesamiento","Unidad de Control de Píxeles","Centro de Poder Unificado","Tarjeta de Proceso Común"
"Cultura Nerd","En el universo de Marvel, ¿de qué metal está hecho el esqueleto de Wolverine?","Adamantium","Vibranium","Uru","Acero Valyrio"
"Cultura Nerd","¿Cuál de estos no es un lenguaje de programación?","HTML","Python","Java","C++"
"Cultura Nerd","¿Cuál es el nombre del protagonista principal de la saga 'The Legend of Zelda'?","Link","Zelda","Ganon","Epona"
"Cultura Nerd","¿En el anime 'Naruto', qué es un 'jutsu'?","Una técnica ninja","Un tipo de comida","Una bestia con cola","Un arma legendaria"
"Cultura Nerd","¿Qué compañía desarrolló el sistema operativo Windows?","Microsoft","Apple","Google","IBM"
"Cultura Nerd","¿Cuál es el nombre del superhéroe de DC Comics conocido como el 'Hombre de Acero'?","Superman","Batman","Flash","Linterna Verde"
"Cultura Nerd","¿Qué es 'Linux'?","Un núcleo de sistema operativo","Un navegador web","Un antivirus","Un lenguaje de programación"
"Cultura Nerd","En 'Pokémon', ¿cuál de estos es un Pokémon inicial de la región de Kanto?","Bulbasaur","Pikachu","Meowth","Eevee"
"Cultura Nerd","¿Qué significan las siglas 'URL' en el contexto de internet?","Localizador Uniforme de Recursos","Registro Universal de Lenguajes","Lector de Unidades Remotas","Red de Usuarios Libres"
"Cultura Nerd","En la saga de videojuegos 'Final Fantasy VII', ¿cuál es el nombre del villano principal?","Sephiroth","Cloud","Aerith","Tifa"
"Cultura Nerd","¿Qué es el 'Ping' en redes de computadoras?","Una medida de la latencia entre dos puntos","La velocidad de descarga","La velocidad de subida","Un tipo de virus"
"Cultura Nerd","En el manga 'One Piece', ¿qué busca el protagonista Monkey D. Luffy?","El tesoro One Piece","Las 7 Bolas de Dragón","Convertirse en Hokage","Vengar a su familia"
"Cultura Nerd","¿Qué componente de hardware es considerado el 'cerebro' de la computadora?","CPU","GPU","RAM","Disco Duro"
"Cultura Nerd","En el mundo de Dungeons & Dragons, ¿qué significa 'd20'?","Un dado de 20 caras","Un dragón con 20 de vida","Un hechizo de nivel 20","Un tipo de armadura"
"Cultura Nerd","¿Cuál es el nombre real de Spider-Man?","Peter Parker","Bruce Wayne","Clark Kent","Tony Stark"
"Cultura Nerd","¿Qué significan las siglas 'RAM' en el hardware de una computadora?","Memoria de Acceso Aleatorio","Memoria de Solo Lectura","Módulo de Aplicación Rápida","Red de Área Metropolitana"
"Cultura Nerd","En el anime 'Attack on Titan' (Shingeki no Kyojin), ¿cómo se llaman los gigantes humanoides?","Titanes","Jaegers","Ángeles","Espectros"
"Cultura Nerd","¿Qué lenguaje de programación es famoso por su logo de una taza de café?","Java","Python","JavaScript","Ruby"
"Cultura Nerd","¿Cuál es el nombre del protagonista del videojuego 'The Witcher 3'?","Geralt de Rivia","Jaskier","Vesemir","Ciri"
"Cultura Nerd","En el universo de DC, ¿cuál es la mayor debilidad de Superman?","Kryptonita","Magia","Luz solar roja","Plomo"
"Cultura Nerd","¿Qué es el 'Hokage' en el anime 'Naruto'?","El líder de la Aldea de la Hoja","Un tipo de ramen","Una técnica de invocación","El demonio de nueve colas"
"Cultura Nerd","¿Qué compañía de videojuegos creó las consolas PlayStation?","Sony","Nintendo","Microsoft","Sega"
"Cultura Nerd","¿Qué es 'git' en el mundo del desarrollo de software?","Un sistema de control de versiones","Un lenguaje de programación","Un editor de texto","Una base de datos"
"Cultura Nerd","¿Cuál es el nombre de la nave espacial capitaneada por Han Solo en 'Star Wars'?","Halcón Milenario","Destructor Estelar","X-Wing","Estrella de la Muerte"
"Cultura Nerd","En la serie 'Doctor Who', ¿cómo se llama la máquina del tiempo y espacio del Doctor?","TARDIS","DeLorean","Stargate","Enterprise"
"Cultura Nerd","¿Cuál de estos NO es un tipo de carta en 'Magic: The Gathering'?","Héroe","Tierra","Criatura","Instantáneo"
"Cultura Nerd","¿Quién es el autor de la saga de libros 'El Señor de los Anillos'?","J.R.R. Tolkien","C.S. Lewis","George R.R. Martin","J.K. Rowling"
"Cultura Nerd","¿En qué videojuego aparece el personaje 'Master Chief'?","Halo","Call of Duty","Gears of War","DOOM"
"Cultura Nerd","¿Cuál es el nombre del estudio de animación japonés fundado por Hayao Miyazaki?","Studio Ghibli","Toei Animation","Madhouse","Kyoto Animation"
"Cultura Nerd","¿Qué significan las siglas 'GPU'?","Unidad de Procesamiento Gráfico","Unidad de Potencia General","Gestor de Programas Universal","Generador de Procesos Únicos"
"Cultura Nerd","En el universo de Marvel, ¿cuántas Gemas del Infinito existen?","6","7","5","8"
"Cultura Nerd","¿Qué es un 'meme' en el contexto de internet?","Una idea o comportamiento que se propaga de persona a persona","Un tipo de virus informático","Un formato de imagen comprimida","Un protocolo de red"
"Cultura Nerd","¿Cuál es el nombre del erizo azul protagonista de los videojuegos de Sega?","Sonic","Tails","Knuckles","Shadow"
"Cultura Nerd","En 'Neon Genesis Evangelion', ¿cómo se llaman los robots gigantes que pilotan los protagonistas?","EVA","Gundam","Jaeger","Zord"
"Cultura Nerd","¿Qué es un 'SSD' en comparación con un 'HDD'?","Una unidad de estado sólido, más rápida","Una unidad de súper disco, más grande","Un disco duro secundario, más lento","Un sistema de seguridad de datos"
"Cultura Nerd","¿En 'Street Fighter', cuál es el movimiento especial característico de Ryu y Ken?","Hadoken","Shoryuken","Tatsumaki Senpukyaku","Yoga Flame"
"Cultura Nerd","¿Cuál es el nombre del protagonista de la serie 'Mr. Robot'?","Elliot Alderson","Tyrell Wellick","Christian Slater","Rami Malek"
"Cultura Nerd","¿Qué es el 'lenguaje binario'?","Un sistema numérico de dos dígitos (0 y 1)","Un lenguaje hablado por robots","Un lenguaje de programación visual","Un protocolo de encriptación"
"Cultura Nerd","En el universo de 'Star Trek', ¿cuál es la directiva principal de la Flota Estelar?","La Primera Directiva (de no interferencia)","La Directiva Omega","El Protocolo Cole","La Orden 66"
"Cultura Nerd","¿Cuál es el objetivo principal en el juego 'Minecraft' en modo supervivencia?","Sobrevivir y derrotar al Dragón del End","Construir la casa más grande","Acumular la mayor cantidad de diamantes","Completar todas las recetas de crafteo"
